#,stock_tick,stock_marketName,stock_isInfoAvailable
923,039830,KOSDAQ,1
924,039840,KOSDAQ,1
925,039860,KOSDAQ,1
926,039980,KOSDAQ,1
927,040160,KOSDAQ,1
928,040300,KOSDAQ,1
929,040350,KOSDAQ,1
930,040420,KOSDAQ,1
931,040610,KOSDAQ,1
932,040910,KOSDAQ,1
933,041020,KOSDAQ,1
934,041140,KOSDAQ,1
935,041190,KOSDAQ,1
936,041440,KOSDAQ,1
937,041460,KOSDAQ,1
938,041510,KOSDAQ,1
939,041520,KOSDAQ,1
940,041590,KOSDAQ,1
941,041650,KOSPI,1
942,041830,KOSDAQ,1
943,041910,KOSDAQ,1
944,041920,KOSDAQ,1
945,041930,KOSDAQ,1
946,041960,KOSDAQ,1
947,042000,KOSDAQ,1
948,042040,KOSDAQ,1
949,042110,KOSDAQ,1
950,042370,KOSDAQ,1
951,042420,KOSDAQ,1
952,042500,KOSDAQ,1
953,042510,KOSDAQ,1
954,042520,KOSDAQ,1
955,042600,KOSDAQ,1
956,042660,KOSPI,1
957,042670,KOSPI,1
958,042700,KOSPI,1
959,042940,KOSDAQ,1
960,043090,KOSDAQ,1
961,043100,KOSDAQ,1
962,043150,KOSDAQ,1
963,043200,KOSDAQ,1
964,043220,KOSDAQ,1
965,043260,KOSDAQ,1
966,043340,KOSDAQ,1
967,043360,KOSDAQ,1
968,043370,KOSDAQ,1
969,043590,KOSDAQ,1
970,043610,KOSDAQ,1
971,043650,KOSDAQ,1
972,043710,KOSDAQ,1
973,043910,KOSDAQ,1
974,044060,KOSDAQ,1
975,044180,KOSDAQ,1
976,044340,KOSDAQ,1
977,044380,KOSPI,1
978,044450,KOSPI,1
979,044480,KOSDAQ,1
980,044490,KOSDAQ,1
981,044780,KOSDAQ,1
982,044820,KOSPI,1
983,044960,KOSDAQ,1
984,045060,KOSDAQ,1
985,045100,KOSDAQ,1
986,045300,KOSDAQ,1
987,045340,KOSDAQ,1
988,045390,KOSDAQ,1
989,045510,KOSDAQ,1
990,045520,KOSDAQ,1
991,045660,KOSDAQ,1
992,045970,KOSDAQ,1
993,046070,KOSDAQ,1
994,046110,KOSDAQ,1
995,046120,KOSDAQ,1
996,046140,KOSDAQ,1
997,046210,KOSDAQ,1
998,046310,KOSDAQ,1
999,046390,KOSDAQ,1
1000,046440,KOSDAQ,1
1001,046890,KOSDAQ,1
1002,046940,KOSDAQ,1
1003,046970,KOSDAQ,1
1004,047040,KOSPI,1
1005,047050,KOSPI,1
